1	37
2	67
3	96
4	57
5	137
6	42
7	118
8	30
9	46
10	20
11	7
12	28
13	48
14	19
15	35
16	24
17	26
18	61
19	102
20	7
21	91
22	35
23	22
24	22
25	40
26	25
27	47
28	18
29	104
30	5
31	187
32	86
33	3
34	34
35	31
36	76
37	53
38	30
39	21
40	23
41	39
42	32
43	14
44	8
45	181
46	5
47	37
48	21
49	10
50	74
51	29
52	27
53	88
54	60
55	29
56	76
57	231
58	15
59	31
60	47
61	32
62	219
63	36
64	25
65	94
66	61
67	32
68	27
69	24
70	37
71	69
72	36
73	84
74	65
75	167
76	30
77	171
78	51
79	71
80	34
81	40
82	69
83	109
84	28
85	77
86	26
87	22
88	43
89	29
90	78
91	310
92	72
93	29
94	12
95	28
96	53
97	101
98	45
99	12
100	72
101	41
102	101
103	131
104	18
105	22
106	49
107	35
108	14
109	31
110	12
111	56
112	44
113	25
114	17
115	37
116	13
117	18
118	70
119	70
120	42
121	26
122	51
123	85
124	53
125	71
126	80
127	108
128	67
129	129
130	195
131	43
132	45
133	26
134	58
135	43
136	16
137	409
138	70
139	36
140	59
141	53
142	53
143	47
144	22
145	15
146	36
147	49
148	46
149	29
150	69
151	77
152	59
153	47
154	8
155	14
156	43
157	69
158	316
159	65
160	22
161	113
162	16
163	82
164	77
165	22
166	22
167	35
168	29
169	41
170	56
171	34
172	26
173	16
174	86
175	69
176	25
177	80
178	23
179	127
180	41
181	151
182	38
183	45
184	42
185	75
186	25
187	18
188	100
189	21
190	86
191	104
192	158
193	60
194	62
195	131
196	91
197	40
198	45
199	33
200	18
201	21
202	22
203	29
204	69
205	32
206	64
207	42
208	76
209	36
210	14
211	52
212	43
213	19
214	98
215	59
216	141
217	17
218	221
219	111
220	39
221	17
222	39
223	97
224	52
225	94
226	232
227	44
228	23
229	75
230	362
231	124
232	45
233	63
234	6
235	77
236	82
237	77
238	41
239	69
240	34
241	64
242	64
243	162
244	8
245	67
246	54
247	13
248	30
249	38
250	158
251	152
252	53
253	12
254	27
255	20
256	93
257	6
258	74
259	46
260	15
261	36
262	71
263	29
264	68
265	9
266	19
267	15
268	65
269	60
270	41
271	12
272	37
273	70
274	11
275	71
276	78
277	19
278	70
279	8
280	15
281	108
282	49
283	74
284	36
285	160
286	91
287	449
288	65
289	48
290	10
291	110
292	197
293	59
294	24
295	112
296	79
297	70
298	45
299	21
300	48
301	60
302	51
303	37
304	12
305	70
306	49
307	22
308	6
309	64
310	102
311	27
312	35
313	22
314	144
315	77
316	26
317	3
318	33
319	23
320	9
321	35
322	70
323	143
324	38
325	60
326	94
327	15
328	17
329	105
330	250
331	8
332	12
333	527
334	122
335	5
336	30
337	8
338	26
339	124
340	30
341	69
342	98
343	28
344	50
345	143
346	15
347	93
348	121
349	108
350	11
351	68
352	37
353	95
354	194
355	74
356	10
357	86
358	36
359	98
360	13
361	36
362	44
363	43
364	34
365	47
366	66
367	72
368	45
369	36
370	30
371	5
372	18
373	353
374	228
375	83
376	78
377	37
378	182
379	170
380	36
381	37
382	50
383	204
384	114
385	12
386	85
387	42
388	23
389	18
390	149
391	37
392	200
393	43
394	14
395	78
396	16
397	62
398	35
399	56
400	15
401	37
402	108
403	44
404	26
405	34
406	27
407	258
408	45
409	52
410	76
411	59
412	69
413	37
414	56
415	49
416	21
417	19
418	29
419	52
420	51
421	19
422	8
423	45
424	62
425	82
426	89
427	10
428	13
429	153
430	17
431	74
432	15
433	41
434	87
435	22
436	52
437	18
438	36
439	96
440	79
441	43
442	18
443	113
444	17
445	113
446	80
447	32
448	70
449	73
450	23
451	3
452	27
453	8
454	89
455	118
456	25
457	38
458	12
459	13
460	34
461	24
462	355
463	24
464	204
465	112
466	73
467	41
468	129
469	42
470	10
471	40
472	5
473	15
474	67
475	34
476	215
477	66
478	103
479	54
480	38
481	77
482	142
483	24
484	50
485	72
486	197
487	23
488	79
489	30
490	7
491	37
492	86
493	86
494	129
495	205
496	68
497	277
498	22
499	11
500	29
501	52
502	75
503	245
504	57
505	113
506	58
507	89
508	65
509	150
510	81
511	30
512	31
513	89
514	18
515	54
516	32
517	82
518	190
519	143
520	85
521	17
522	33
523	128
524	46
525	65
526	45
527	66
528	240
529	95
530	23
531	341
532	45
533	85
534	75
535	83
536	15
537	91
538	25
539	86
540	40
541	47
542	71
543	59
544	187
545	9
546	28
547	113
548	57
549	59
550	74
